i,URL,Green Hosting,Bytes,Cleaner Than %,Statistics: Adjusted Bytes,Statistics: Energy (KWG),"Statistics: CO2 Grams, Grid","Statistics: CO2 Litres, Grid","Statistics: CO2 Grams, Renewable","Statistics: CO2 Litres, Renewable",Gathered At:
22275,https://www.sydneyoperahouse.com/,False,31888743,1.0,24076000.965,0.0181622437961865,8.027711757914442,4.465013279752012,6.959771822698676,3.8710250877850014,2022-05-07 08:40:01
24402,https://www.mindworks-creative.com/,False,31858832,1.0,24053418.16,0.0181452079765498,8.02018192563504,4.460825187038208,6.953243696613909,3.867394144056656,2022-05-10 15:46:54
25922,https://www.groundtruth.com/,False,31826604,1.0,24029086.02,0.0181268525088205,8.012068808898704,4.456312671509458,6.946209881380053,3.8634819360235846,2022-05-10 16:46:40
37772,https://www.supplychainbrain.com/,False,31821332,1.0,24025105.66,0.0181238498395308,8.010741629072651,4.455574494090207,6.945059258508237,3.86284195958228,2022-05-14 11:54:25
10729,https://tvb.com/,True,31704039,1.0,23936549.445,0.0180570455737877,7.981214143614192,4.4391513066782124,6.919459863875472,3.848603576287537,2022-05-05 16:47:18
34055,https://www.tommybahama.com/,True,31550137,1.0,23820353.435,0.0179693906403612,7.942470663039666,4.4176021827826615,6.8858704933864265,3.8299211684215297,2022-05-13 12:47:25
6751,https://motionarray.com/,True,31516554,1.0,23794998.27,0.0179502634319476,7.934016436920874,4.41289994221539,6.878540947122351,3.825844474789451,2022-05-05 09:50:27
4943,https://streamlabs.com/,True,31511579,1.0,23791242.145,0.0179474299191031,7.932764024243598,4.412203350284289,6.877455145000333,3.825240551649185,2022-05-04 19:08:00
8504,https://www.hellosign.com/,False,31451041,1.0,23745535.955,0.0179129504818003,7.91752411295576,4.403726911625993,6.8642426246259,3.817891747816925,2022-05-05 11:20:08
18461,https://www.vietjetair.com/vi,False,31327993,1.0,23652634.715,0.0178428684539627,7.886547856651527,4.386497917869578,6.837387191558519,3.8029547559448473,2022-05-06 14:18:44
10453,https://hsreplay.net/,True,31185181,1.0,23544811.655,0.0177615298335906,7.850596186447052,4.366501598901849,6.806218232231924,3.785618580767395,2022-05-05 15:41:22
31205,https://asi.ru/,False,31176094,1.0,23537950.97,0.0177563543298281,7.848308613784053,4.3652292509866895,6.804234979190157,3.784515495425565,2022-05-12 17:31:14
31288,https://www.stmarys-ca.edu/,False,31074857,1.0,23461517.035,0.0176986947640311,7.822823085701746,4.35105420026731,6.782139833576718,3.7722261754353696,2022-05-12 17:29:34
10973,https://www.jcu.edu.au/,False,31036016,1.0,23432192.08,0.0176765728600323,7.813045204134286,4.345615742539489,6.773662719964386,3.767511204844191,2022-05-05 17:07:08
9132,https://www.yenicaggazetesi.com.tr/,True,31031068,1.0,23428456.34,0.0176737547250464,7.811799588470534,4.34492293110731,6.772582810637803,3.766910559276745,2022-05-05 11:59:59
25348,https://www.cannondale.com/en-nl/,True,30935904,1.0,23356607.52,0.0176195540383458,7.787842884948851,4.33159821260855,6.751813107494117,3.7553584503882274,2022-05-10 16:11:37
13582,https://www.adstanding.com/,False,30921998,1.0,23346108.49,0.0176116338715888,7.784342171242273,4.329651115644952,6.748778099592849,3.753670378993542,2022-05-06 09:38:41
16819,https://www.vbox7.com/,False,30920092,1.0,23344669.46,0.0176105483086779,7.783862352435664,4.329384240424715,6.748362111885399,3.753439006630658,2022-05-06 12:39:05
2335,https://www.aa.com.tr/en,False,30809299,1.0,23261020.745,0.0175474461200181,7.755971185048019,4.313871173123707,6.724181353190954,3.739989668644808,2022-05-04 15:50:56
3380,https://www.prensalibre.com/,False,30783416,1.0,23241479.08,0.0175327044490724,7.749455366490036,4.310247074841757,6.718532344884576,3.736847690224801,2022-05-04 18:25:13
20536,https://www.gsshop.com/index.gs,False,30770050,1.0,23231387.75,0.0175250918394885,7.746090593053959,4.308375587856611,6.715615192892031,3.735225170286547,2022-05-06 19:19:24
31399,https://www.regiscollege.edu/,False,30712920,1.0,23188254.6,0.017492553429678,7.7317086159177135,4.300376332173432,6.703146474252643,3.728290068979319,2022-05-12 17:31:56
212,https://time.com/,False,30705086,1.0,23182339.93,0.0174880915724672,7.729736475030519,4.299279427411974,6.701436690569446,3.727339087294725,2022-05-04 17:33:09
37757,https://www.guardsquare.com/,False,30619894,1.0,23118019.97,0.0174395704415626,7.708290135170706,4.287350973181946,6.682843393206821,3.716997495301633,2022-05-14 11:53:52
13110,https://www.cc.com/shows/the-daily-show-with-trevor-noah,True,30618604,1.0,23117046.02,0.0174388357216492,7.70796538896896,4.287170349344534,6.682561848535985,3.7168409001557134,2022-05-05 19:14:24
36796,https://h-metrics.com/,False,30533138,1.0,23052519.19,0.0173901585339568,7.686450072008931,4.275203530051367,6.6639087502122685,3.706466046868063,2022-05-14 10:14:43
31894,https://www.mavs.com/,True,30469101,1.0,23004171.255,0.0173536862400826,7.670329318116512,4.266237166736404,6.649932567199656,3.698692493876448,2022-05-12 17:51:25
45321,https://www.yogonet.com/international/,True,30468298,1.0,23003564.99,0.0173532288911752,7.670127169899456,4.266124731898077,6.6497573110983526,3.698595016432903,2022-05-18 12:54:37
11339,https://www.aha.io/,False,30444289,1.0,22985438.195,0.0173395545575302,7.664083114428353,4.262763028245049,6.644517306445577,3.695680525845029,2022-05-05 17:28:50
2554,https://home.miui.com/,False,30339058,1.0,22905988.79,0.017279620207753,7.637592131826841,4.248028743722088,6.621550463610963,3.682906367860417,2022-05-04 15:37:49
23227,https://home.otoy.com/,True,30338142,1.0,22905297.21,0.0172790984996594,7.637361536849478,4.247900486795679,6.621350545069502,3.682795173167656,2022-05-07 09:38:53
12402,https://hoy.com.do/,True,30324589,1.0,22895064.695,0.0172713793841656,7.633949687801208,4.246002816355031,6.61839258001227,3.681149953002824,2022-05-05 18:42:25
51626,https://www.jti.com/,True,30275124,1.0,22857718.62,0.0172432065775617,7.621497307282315,4.239076802310422,6.607596760521681,3.67514531820216,2022-05-21 14:43:00
35217,https://www.bandainamcoent.co.jp/,False,30265290,1.0,22850293.95,0.0172376056197099,7.619021683911793,4.237699860591738,6.60545047347285,3.6739515533455984,2022-05-13 14:41:12
38132,https://www.xtool.com/,True,30084793,2.0,22714018.715,0.0171348034955095,7.573583145015221,4.212426945257465,6.566056699479261,3.652040736250364,2022-05-14 12:22:55
14757,https://my.games/,False,30036573,1.0,22677612.615,0.0171073397790547,7.561444182342198,4.20567525421873,6.55553260333378,3.646187233974248,2022-05-06 10:43:28
11979,https://www.lexus.com/,False,29987648,1.0,22640674.24,0.0170794745296239,7.549127742093801,4.198824850152572,6.544854639751912,3.6402481506300126,2022-05-05 18:27:58
45733,https://www.meihaku.jp/,True,29920994,2.0,22590350.47,0.0170415117225609,7.532348181371949,4.189492058479077,6.530307292085365,3.63215691585788,2022-05-18 13:22:56
22298,https://luminousscans.com/,True,29920143,2.0,22589707.965,0.0170410270352382,7.532133949575294,4.189372902753778,6.530121559903288,3.632053611618208,2022-05-07 08:40:33
13468,https://www.motorolasolutions.com/en_us.html?geo=redirect,False,29880015,1.0,22559411.325,0.0170181721199769,7.522032077029813,4.183754241243981,6.521363556375169,3.627182410055868,2022-05-06 09:26:52
42635,https://www.gazetaexpress.com/,True,29863727,2.0,22547113.885,0.0170088952843565,7.517931715685596,4.181473620264328,6.517808672965431,3.625205183903372,2022-05-16 12:09:05
51867,https://colombiacompra.gov.co/,False,29841587,1.0,22530398.185,0.0169962854402605,7.51235816459516,4.178373611147827,6.51297658070784,3.6225175741897,2022-05-21 14:45:35
8698,https://www.overwolf.com/pages/homepage/,False,29814023,1.0,22509587.365,0.0169805863552261,7.505419169009943,4.174514141803329,6.506960691322648,3.619171536513656,2022-05-05 11:38:45
33599,https://www.bracbank.com/en/,True,29809697,2.0,22506321.235,0.0169781224805396,7.504330136398506,4.173908421864848,6.506016534542779,3.618646396512693,2022-05-13 10:47:44
34997,https://www.touken-world.jp/,False,29776383,1.0,22481169.165,0.0169591484811622,7.4959436286737215,4.169243846268323,6.498745697981382,3.614602357217244,2022-05-13 14:27:21
48389,https://www.schwalbe.com/,True,29738484,2.0,22452555.42,0.0169375630935654,7.4864028873559105,4.163937285947356,6.490474177454265,3.6100017375000615,2022-05-20 07:36:19
46657,https://www.primicias.ec/,True,29734144,2.0,22449278.72,0.0169350912451744,7.485310330367088,4.163329605750174,6.489526965150834,3.609474898016893,2022-05-19 10:20:47
51204,https://www.vision2030.gov.sa/,True,29716405,2.0,22435885.775,0.0169249879920389,7.480844692481216,4.160845817958052,6.485655398549326,3.607321532673135,2022-05-21 10:11:01
25906,https://kwiksend.co/,False,29687768,1.0,22414264.84,0.0169086777795106,7.473635578543694,4.156836108786002,6.47940532510847,3.60384524182533,2022-05-10 16:47:02
4603,https://www.eqxiu.com/,False,29642503,1.0,22380089.765,0.0168828970842529,7.462240511239787,4.150498172351568,6.469526162685717,3.598350451685795,2022-05-04 18:58:06
30578,https://www.pcolle.com/,False,29563897,1.0,22320742.235,0.0168381270117592,7.442452139197569,4.139491879821687,6.452370270906129,3.588808344677988,2022-05-12 14:57:09
14976,https://www.melonbooks.co.jp/,False,29538561,1.0,22301613.555,0.0168236968848388,7.436074023098778,4.13594437164754,6.446840646270254,3.585732767455515,2022-05-06 10:52:50
42904,https://elopage.com/,True,29474001,2.0,22252870.755,0.0167869267161469,7.419821608536969,4.126904778668261,6.432750317627527,3.5778957266644302,2022-05-16 12:31:04
