URL,Green Hosting,Bytes,Cleaner Than %,Stats_Adjusted Bytes,Stats_Energy,Stats_CO2_Grid_Grams,Stats_CO2_Grid_Litres,Stats_CO2_Renewable_Grams,Stats_CO2_Renewable_Litres
unknown,7366937,0.12,5562037.435,0.0041958413294982,1.854561867638212,1.0315073107803732,1.6078463974637167,0.8942841662693191,1651684806
unknown,2215237,0.44,1672503.935,0.0012616889433469,0.5576665129593573,0.3101741145079945,0.483479203090556,0.2689111327589672,1651677883
unknown,1512463,0.59,1141909.565,0.0008614237864036,0.3807493135903962,0.2117727682189783,0.3300975949498639,0.1836002823111142,1651677904
unknown,1312928,0.64,991260.64,0.0007477785632014,0.3305181249350309,0.1838341810888641,0.286548745418787,0.1593784122019293,1651677885
unknown,2941442,0.34,2220788.71,0.00167529923385,0.7404822613617406,0.4118562337694,0.6419746664113551,0.3570663094579956,1651677898
unknown,913354,0.76,689582.27,0.0005202010634355,0.2299288700385019,0.1278864375154147,0.1993410475084931,0.1108734906242238,1651677874
unknown,1098186,0.69,829130.43,0.0006254721882753,0.2764587072176859,0.1537663329544769,0.2396809425470978,0.1333105402446958,1651677891
unknown,4392904,0.22,3316642.52,0.0025019798811525,1.1058751074694098,0.6150877347744856,0.9587586904576424,0.5332615836325406,1651677905
True,1742026,0.59,1315229.63,0.0009921714666299,0.4385397882504389,0.243915830224894,0.3802001060125977,0.2114672989642068,1651677890
unknown,2938053,0.34,2218230.015,0.0016733690278138,0.7396291102937423,0.4113817111453794,0.6412350114582853,0.3566549133730982,1651677874
unknown,235949,0.95,178141.495,0.000134384828573,0.059398094229307,0.0330372200103405,0.0514962663092091,0.0286422233211821,1651677863
unknown,14213603,0.05,10731270.265,0.0080953621441964,3.578150067734812,1.990167067674102,3.1021427736560634,1.725411810707502,1651677873
True,1189467,0.72,898047.585,0.0006774613110814,0.2994378994979895,0.1665473597007817,0.2596031744064018,0.1443912856048406,1651677870
unknown,633697,0.85,478441.235,0.0003609223294537,0.1595276696185581,0.088729289841842,0.1383054366466775,0.076925483862882,1651677871
True,1641083,0.62,1239017.665,0.0009346793486271,0.4131282720931806,0.229781944938227,0.3581691263939068,0.1992136681002909,1651677874
True,2637428,0.43,1991258.14,0.0015021479627117,0.6639493995185942,0.369288656012242,0.5756230993111433,0.3201615678368578,1651677872
unknown,2779067,0.36,2098195.585,0.0015828185005579,0.6996057772465982,0.3891207333045579,0.6065360494137929,0.3373553506839515,1651677907
unknown,2572261,0.39,1942057.055,0.0014650320769753,0.6475441780230963,0.360164071816446,0.5614002918969468,0.3122508423530817,1651677877
unknown,279270,0.94,210848.85,0.0001590583180077,0.0703037765594199,0.0391029605223493,0.0609511474605649,0.0339010282175662,1651677866
True,1282799,0.69,968513.245,0.0007306185815948,0.3229334130649455,0.1796155643467226,0.2799730404671654,0.1557210051078373,1651677880
True,458984,0.9,346532.92,0.0002614144843071,0.1155452020637691,0.0642662413878683,0.1001740303865075,0.0557167957009754,1651677862
unknown,4914785,0.19,3710662.675,0.0027992173719685,1.2372540784101005,0.6881607184116977,1.0726600969383493,0.5966135459171098,1651677876
unknown,4431617,0.22,3345870.835,0.0025240288827102,1.1156207661579365,0.620508270137044,0.967207867854573,0.5379610161007135,1651677880
unknown,1436965,0.61,1084908.575,0.000818423876306,0.3617433533272706,0.2012016531206279,0.3136200294004754,0.1744354603525443,1651677899
unknown,1430115,0.61,1079736.825,0.0008145224566105,0.3600189258218743,0.2002425265421264,0.3121250053731725,0.1736039279885585,1651677945
unknown,2347569,0.42,1772414.595,0.0013370586763601,0.5909799349511974,0.3287030398198559,0.5123608847812191,0.284975124115314,1651677871
unknown,1068119,0.7,806429.845,0.0006083475187886,0.2688896033045836,0.1495563973580093,0.2331187691998109,0.1296606594289348,1651677873
unknown,3104550,0.32,2343935.25,0.0017681974475272,0.7815432718070224,0.4346943677790658,0.6775732618924232,0.3768662482645657,1651677885
unknown,1288638,0.64,972921.69,0.0007339441859163,0.3244033301750197,0.1804331322433459,0.2812474120431393,0.156429810578394,1651677864
unknown,1470917,0.6,1110542.335,0.0008377612487878,0.3702904719642363,0.2059555605065082,0.3210301105355099,0.1785569474798506,1651677873
unknown,4304210,0.23,3249678.55,0.0024514641850255,1.08354716978129,0.6026689358323534,0.939401075701788,0.5224948783053345,1651677948
unknown,2960658,0.34,2235296.79,0.0016862437128089,0.7453197210615501,0.414546828854434,0.6461685907483847,0.3593989701742515,1651677872
